ID,Question,Answer,Category,Source
155,Is attendance compulsory for workshop classes?,Students are expected to attend workshop classes as part of their academic programme. Attendance is recorded according to the institutional procedure. The applicable attendance requirements must be satisfied for academic and examination eligibility.,Attendance,Student Handbook 2025-2026
156,Is attendance required during project work?,Students must follow the attendance requirements applicable to project work. Project activities and academic requirements must be completed according to the programme regulations. The concerned faculty or project coordinator provides the applicable guidance.,Attendance,Student Handbook 2025-2026
157,When should hostel biometric attendance be registered?,Hostel students must register biometric attendance every day between 7:00 PM and 8:15 PM. The biometric record is mandatory for hostel residents. Failure to register within the prescribed period can result in attendance and mail restrictions.,Attendance,Student Handbook 2025-2026
158,What happens if biometric attendance is missed?,"If biometric attendance is missed, hostel attendance and mail facilities may be blocked. The respective parent may also receive a notification. Students must approach the appropriate hostel authority to resolve the issue.",Attendance,Student Handbook 2025-2026
159,Can class attendance be blocked?,Attendance records are maintained according to institutional academic rules. Students who do not satisfy attendance requirements may face restrictions relating to examination eligibility. Any attendance-related action is taken according to the applicable regulations.,Attendance,Student Handbook 2025-2026
160,Who handles attendance complaints?,"Attendance complaints should first be reported to the concerned faculty member or Class Advisor. If the issue is not resolved, it can be taken to the appropriate academic authority. Students should report errors promptly.",Attendance,Student Handbook 2025-2026
161,How can I contact my Class Advisor about attendance?,Students can contact their assigned Class Advisor for attendance-related concerns. The Class Advisor can help verify attendance records and guide the student regarding the applicable academic procedure.,Attendance,Student Handbook 2025-2026
162,How can I apply for a bus pass?,Students who require college transport should follow the prescribed transport registration procedure. A bus pass may be issued after completing the required application and payment formalities. The exact current procedure is determined by the transport department.,Transport,Student Handbook 2025-2026
163,What are the college bus timings?,The college operates buses for students and staff from various locations. Exact bus timings depend on the transport schedule and route. Students should refer to the current transport schedule for their specific route.,Transport,Student Handbook 2025-2026
164,What bus routes are available?,The institution operates buses covering various locations to provide transport for students and staff. The handbook does not provide a complete current route-wise list. Students should obtain the latest route information from the transport department.,Transport,Student Handbook 2025-2026
165,Where are the bus stops?,Bus stops are determined according to the routes operated by the college transport department. The handbook does not provide a complete current list of every stop. Students should check the official transport schedule for the relevant route.,Transport,Student Handbook 2025-2026
166,Who can use the college bus?,The college bus facility is provided for eligible students and staff according to transport rules. Students must follow the prescribed registration and bus-pass requirements. Transport usage is subject to availability and institutional regulations.,Transport,Student Handbook 2025-2026
167,Is a bus pass required?,A valid bus pass may be required for students using the college transport facility. Students should complete the prescribed transport registration process and carry the required pass.,Transport,Student Handbook 2025-2026
168,How much does the bus pass cost?,The Student Handbook does not provide a single current bus-pass price. The applicable amount depends on the transport arrangement and route. Students should check the latest transport fee notification.,Transport,Student Handbook 2025-2026
169,How can I renew my bus pass?,Students should apply for renewal through the prescribed transport procedure before the existing pass expires. The renewal may require payment of the applicable transport fee. Exact renewal instructions are issued by the transport department.,Transport,Student Handbook 2025-2026
170,Can I change my bus route?,Route changes depend on availability and approval from the transport department. Students should submit a request through the prescribed procedure. A change is not automatic and depends on the available route and transport capacity.,Transport,Student Handbook 2025-2026
171,Can I change my bus stop?,Students may request a change of bus stop through the transport department. The request is subject to route availability and approval. Students should use the prescribed transport procedure before changing their regular stop.,Transport,Student Handbook 2025-2026
172,Is transport available on weekends?,Weekend transport depends on the official transport schedule. The institution may operate transport according to academic or institutional requirements. Students should check the current schedule for weekend services.,Transport,Student Handbook 2025-2026
173,Is transport available on holidays?,Holiday transport availability depends on institutional requirements and the transport schedule. Students should not assume that regular buses operate on holidays. The latest transport communication should be checked before travelling.,Transport,Student Handbook 2025-2026
174,What happens if I miss the college bus?,"If a student misses the scheduled college bus, the student should make an alternative approved travel arrangement. The student can contact the transport department if the issue is related to the bus service. Students should not use unauthorized transport arrangements on behalf of the institution.",Transport,Student Handbook 2025-2026
175,Who should I contact about transport?,"Transport-related questions should be directed to the college transport department. The department handles route, bus-pass, timing and transport-service related matters. Students should use the official communication channel for assistance.",Transport,Student Handbook 2025-2026
176,How can I report a bus problem?,Students should report bus-related problems to the transport department or designated transport authority. The report should include the bus route and relevant details of the problem. This helps the department investigate and take appropriate action.,Transport,Student Handbook 2025-2026
177,What are the rules for travelling in the bus?,"Students must follow safety, discipline and conduct rules while travelling on college buses. They should respect the driver and other passengers and avoid behaviour that creates a safety risk. Transport facilities must be used responsibly.",Transport,Student Handbook 2025-2026
178,Are buses available for educational tours?,The institution operates transport vehicles that may be used for institutional and educational activities. Availability for educational tours depends on official arrangements and approval. Students should make requests through the concerned department.,Transport,Student Handbook 2025-2026
179,Can parents use the college bus?,Parent or visitor use of college buses is not a regular student transport facility. Such use would require institutional permission and must comply with transport rules. Students should contact the transport authority for specific arrangements.,Transport,Student Handbook 2025-2026
180,What happens if the bus is delayed?,"Students should wait for official transport information when a college bus is delayed. If necessary, they can contact the transport department for an update. Any route or timing change should be followed according to official communication.",Transport,Student Handbook 2025-2026
181,How can I know if a bus is cancelled?,"Bus cancellations or route changes are communicated through the official transport or college communication channels. Students should check these updates before travelling. If the information is unclear, they should contact the transport department.",Transport,Student Handbook 2025-2026
182,How can I register for a scholarship?,"Students must apply for the scholarship through the prescribed scholarship procedure. The handbook lists Central Government, State Government and Institute scholarship categories. Eligibility and required documents depend on the particular scholarship.",Scholarship,Student Handbook 2025-2026
183,What scholarships are available for students?,"The handbook lists scholarships provided under Central Government, State Government and Institute schemes. Examples include First Graduate Scholarship, BC/MBC/DNC scholarships, SC/ST scholarships, minority scholarships, disability scholarships and merit-related institute scholarships.",Scholarship,Student Handbook 2025-2026
184,Who is eligible for scholarships?,"Eligibility depends on the specific scholarship scheme. General scholarship eligibility normally applies to students admitted through counselling unless the particular scholarship states otherwise. Students must satisfy the academic, category or income conditions applicable to the selected scholarship.",Scholarship,Student Handbook 2025-2026
185,What documents are required for scholarships?,"Students must submit the documents required for the relevant scholarship scheme. The required documents may include academic, category, income or other supporting certificates depending on the scheme. The scholarship office verifies the submitted documents before processing.",Scholarship,Student Handbook 2025-2026
186,When is the scholarship application deadline?,The scholarship deadline depends on the particular scholarship authority and notification. Students must submit applications within the prescribed period. The current deadline should be checked with the scholarship office or relevant scholarship portal.,Scholarship,Student Handbook 2025-2026
187,How can I check my scholarship status?,Students can check scholarship status through the relevant scholarship portal or the designated scholarship office. The status depends on application verification and approval by the concerned authority. Students should retain their application details for tracking.,Scholarship,Student Handbook 2025-2026
188,How can I track my scholarship application?,"Application tracking can be done through the prescribed scholarship system when online tracking is available. Students should use their application or registration details to check progress. For institution-level issues, the scholarship office can provide assistance.",Scholarship,Student Handbook 2025-2026
189,How can I correct my scholarship application?,"Application corrections can be made only during the correction period provided by the scholarship authority. Students should verify the information before final submission. If corrections are required after submission, they should follow the official correction procedure.",Scholarship,Student Handbook 2025-2026
190,What clubs are available at BIT?,"BIT has more than 20 clubs, leadership groups and technical societies covering areas such as art, music, dance, photography and technology. Students can join clubs according to their interests and participate in activities, events and camps.",Clubs and Societies,Student Handbook 2025-2026
191,How can I join a club?,"Freshers and other students can join the clubs and societies available at BIT according to their interests. Students can contact the respective club coordinator or Freshman Coordinator for guidance. Club activities provide opportunities to develop skills, leadership and teamwork.",Clubs and Societies,Student Handbook 2025-2026
192,What are the benefits of joining a club?,"Joining a club helps students participate in extracurricular activities while continuing their academics. Students can develop leadership, teamwork, communication and organizational skills through events and activities. Clubs also provide opportunities to contribute to the campus community.",Clubs and Societies,Student Handbook 2025-2026
193,Are there technical clubs at BIT?,"Yes, BIT has technical societies and clubs where students can explore technical interests and develop practical skills. Students can participate in activities, events and projects organized by these groups.",Clubs and Societies,Student Handbook 2025-2026
194,Is there a photography club?,Photography is one of the areas covered by the clubs and societies at BIT. Students interested in photography can participate in related activities and events organized through the campus club system.,Clubs and Societies,Student Handbook 2025-2026
195,Is there NCC in the college?,"Yes, BIT has NCC units that provide students with training and opportunities for leadership development. The campus has three NCC units, including units for general, girls and air-squadron activities.",NCC,Student Handbook 2025-2026
196,How many NCC units are there?,"BIT has three NCC units. They include 2 (TN) CTC, 5 (TN) Girls Battalion and 2 (TN) Air Squadron. Students can contact the respective NCC officers for information about participation.",NCC,Student Handbook 2025-2026
197,What is the purpose of NCC?,"NCC helps students develop character, discipline, leadership qualities and a sense of patriotism. Students receive training and opportunities to participate in activities that support personal and leadership development.",NCC,Student Handbook 2025-2026
198,How can I join NCC?,Students interested in NCC should approach the appropriate NCC unit or officer on campus. Admission and participation are subject to the requirements and availability of the respective NCC unit.,NCC,Student Handbook 2025-2026
199,Is there NSS in the college?,"Yes, BIT has two NSS units with around 200 volunteers. NSS students participate in activities related to health, environment, literacy and disaster relief.",NSS,Student Handbook 2025-2026
200,What activities are conducted by NSS?,"NSS volunteers participate in health, environmental, literacy and disaster-relief initiatives. These activities help students develop teamwork, empathy, discipline and social responsibility.",NSS,Student Handbook 2025-2026
201,How can I join NSS?,"Students interested in social-service activities can approach the NSS units for participation. BIT has two NSS units, and students can contact the concerned NSS coordinator for further information.",NSS,Student Handbook 2025-2026
202,How many NSS units are available?,BIT has two NSS units. The units involve students in community-oriented activities and social-service programmes.,NSS,Student Handbook 2025-2026
203,Is yoga available at BIT?,"Yes, yoga sessions are available at BIT. Two experienced trainers conduct sessions in the morning or evening according to convenience. A dedicated yoga hall is available on campus, with additional halls in the boys' and girls' hostels.",Yoga,Student Handbook 2025-2026
204,When are yoga sessions conducted?,Yoga sessions are conducted either in the morning or evening according to convenience. Students can participate in the sessions arranged by the yoga trainers.,Yoga,Student Handbook 2025-2026
205,Where can students practise yoga?,A dedicated yoga hall is available on the main campus. Separate yoga halls are also available in the boys' and girls' hostels for the convenience of hostel residents.,Yoga,Student Handbook 2025-2026
206,What is the Student Grievance System?,"The Student Grievance System provides a formal process for students to raise concerns related to academics, administration, campus facilities or interpersonal matters. It aims to resolve complaints fairly and transparently while protecting student rights.",Student Support,Student Handbook 2025-2026
207,How can I submit a student grievance?,"Students can register their concerns through the prescribed Student Grievance System. The system provides a formal and transparent process for addressing academic, administrative, facility and interpersonal issues.",Student Support,Student Handbook 2025-2026
208,What types of complaints can be raised through the grievance system?,"Students can raise concerns related to academics, administration, campus facilities and interpersonal matters. The grievance system is designed to provide a fair and transparent mechanism for resolving such issues.",Student Support,Student Handbook 2025-2026
209,Who handles student grievances?,Student grievances are handled through the Student Grievance System under the designated authority. The handbook identifies Mr C Sathishkumar as the in-charge for the Student Grievance System.,Student Support,Student Handbook 2025-2026
210,What is the Internship Guidance Cell?,The Internship Guidance Cell helps students understand the importance of internships and identify suitable opportunities. It validates industries offering internships and helps students find discipline-specific internship opportunities.,Internship,Student Handbook 2025-2026
211,How does the Internship Guidance Cell help students?,The cell connects students with industries and helps them identify suitable internships related to their discipline. It also validates the industries that offer internship opportunities to students.,Internship,Student Handbook 2025-2026
212,Who manages the Internship Guidance Cell?,The Internship Guidance Cell functions under Student Achievements (SAc). Dr T Perarasi is listed as the in-charge of the cell in the Student Handbook.,Internship,Student Handbook 2025-2026
213,What is the IPR Cell?,"The IPR Cell supports students in protecting and developing their intellectual property. It provides guidance on patent searching, TRIZ methodology, patent drafting and preparation of patent filing documents.",IPR,Student Handbook 2025-2026
214,Can the IPR Cell help with patent filing?,"Yes, the IPR Cell supports students in preparing and filing patents for intellectual property created by them. It provides guidance on patent documents and helps students complete the required patent filing forms.",IPR,Student Handbook 2025-2026
215,Does the IPR Cell provide patent training?,"Yes, the IPR Cell provides structured training on patent search techniques, TRIZ methodology and patent drafting essentials. The training helps students understand the process of developing and protecting intellectual property.",IPR,Student Handbook 2025-2026
216,What is the Anti-Ragging Committee?,"The Anti-Ragging Committee works to prevent ragging and create a safe campus environment. It spreads awareness about the harmful effects of ragging, takes action when incidents occur and provides information and support regarding anti-ragging regulations.",Anti-Ragging,Student Handbook 2025-2026
217,Is ragging allowed at BIT?,"No, ragging is prohibited at BIT. The institution takes preventive and disciplinary measures against ragging, including humiliation, bullying, intimidation, verbal abuse and online harassment.",Anti-Ragging,Student Handbook 2025-2026
218,What should I do if I face ragging?,"A student who experiences ragging should report the incident through the appropriate anti-ragging authorities. The Anti-Ragging Committee and Anti-Ragging Squad are responsible for prevention, detection and action against ragging incidents.",Anti-Ragging,Student Handbook 2025-2026
219,What is the Anti-Drug Squad?,"The Anti-Drug Squad works to maintain a drug-free campus environment. Its activities include creating awareness, preventing drug use and trafficking, detecting drug-related issues and coordinating with external agencies when required.",Anti-Drug,Student Handbook 2025-2026
220,Are drugs allowed on campus?,"No, prohibited drugs and substances are not permitted on campus. The Anti-Drug Cell works to prevent drug use and trafficking and promotes awareness about the harmful effects of drug abuse.",Anti-Drug,Student Handbook 2025-2026
221,What is the Discipline Welfare Committee?,"The Discipline Welfare Committee helps maintain a disciplined and positive learning environment. It promotes student welfare, supports policy development and handles disciplinary matters according to institutional procedures.",Discipline,Student Handbook 2025-2026
222,What happens if a student violates college rules?,Rule violations are investigated through the prescribed disciplinary process. Students are given an opportunity to present their explanation before appropriate action is taken. Serious or unresolved matters can be escalated to higher authorities according to the institutional procedure.,Discipline,Student Handbook 2025-2026
223,Who handles disciplinary complaints?,"The Discipline Committee and Discipline Enquiry Committee handle disciplinary matters. Initially, issues may be addressed through the student's mentor and counselling, while unresolved or serious cases can be escalated to the Head of the Department or college management.",Discipline,Student Handbook 2025-2026
224,What is the dress code at BIT?,"Students must wear neat, clean and formal attire with proper shoes. The handbook specifies appropriate clothing for boys and girls and requires students to maintain a neat and properly groomed appearance while on campus.",Discipline,Student Handbook 2025-2026
225,Can students wear casual clothes to college?,"Students are expected to follow the formal dress code prescribed by the institution. Neat and clean formal attire with proper shoes is required, while certain clothing styles and accessories are specifically prohibited.",Discipline,Student Handbook 2025-2026
226,What happens during a disciplinary enquiry?,"The Discipline Enquiry Committee investigates the reported misconduct and gives the student an opportunity to explain the situation. After considering the findings, suitable disciplinary action may be taken according to institutional guidelines.",Discipline,Student Handbook 2025-2026
227,Does BIT provide career training?,"Yes, the Training and Placement team provides training in technical, aptitude, core, verbal and soft skills. Training is personalized according to students' understanding and academic needs and also includes guidance for competitive examinations.",Training and Placement,Student Handbook 2025-2026
228,When does placement training start?,"Placement-related training activities are provided progressively from the early stages of the student's programme. The Training and Placement Cell conducts technical, aptitude, core, verbal and soft-skill development activities to prepare students for careers.",Training and Placement,Student Handbook 2025-2026
229,What documents should I carry for placement interviews?,"Students should maintain an interview file containing copies of their 10th and 12th certificates, UG grade sheets for all semesters, PAN, passport if applicable, resume and a passport-size photograph. Students should also maintain a strong formal resume and active GitHub profile.",Training and Placement,Student Handbook 2025-2026
230,What should I do after accepting a job offer?,"Once a student accepts a job offer through the placement process, joining the company is mandatory according to the Student Handbook. Students should therefore carefully consider the opportunity before accepting the offer.",Training and Placement,Student Handbook 2025-2026
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
